topic,ele_code,weight_freq,name,long_name
13,055Y,0.012,CISE Education and Workforce,CISE Education and Workforce
13,1998,0.012,IUSE,Imploving Undergraduate STEM Education (IUSE)
13,1536,0.015,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
13,107Y,0.019,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
13,7275,0.02,Cross-EF Activities,Cross-EF Activities
13,7645,0.021,Discovery Research K-12,Discovery Research K-12
13,104Y,0.023,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
13,7412,0.023,Advanced Tech Education Prog,Advanced Tech Education Prog
13,154Y,0.031,GVF - Global Venture Fund,GVF - Global Venture Fund
13,125Y,0.032,Science of Science,Science of Science
13,9150,0.035,EPSCoR Co-Funding,EPSCoR Co-Funding
13,8624,0.044,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
13,7172,0.069,Graduate Research Fellowship,Graduate Research Fellowship
13,162Y,0.661,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
13,7261,0.697,Project & Program Evaluation,Project & Program Evaluation
13,1668,1.249,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
13,8060,1.514,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
13,1997,2.347,NRT,NSF Research Traineeship (NRT)
13,7980,4.597,ECR-EHR Core Research,ECR-EHR Core Research
14,055Y,0.003,CISE Education and Workforce,CISE Education and Workforce
14,1998,0.003,IUSE,Imploving Undergraduate STEM Education (IUSE)
14,7959,0.007,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
14,7645,0.009,Discovery Research K-12,Discovery Research K-12
14,062Y,0.009,GCR-Growing Convergence Research,GCR-Growing Convergence Research
14,7259,0.009,AISL,Advencing Informal STEM Learning
14,7699,0.015,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
14,7275,0.018,Cross-EF Activities,Cross-EF Activities
14,107Y,0.02,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
14,104Y,0.022,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
14,1536,0.024,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
14,7412,0.028,Advanced Tech Education Prog,Advanced Tech Education Prog
14,8624,0.043,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
14,154Y,0.052,GVF - Global Venture Fund,GVF - Global Venture Fund
14,1253,0.077,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
14,9150,0.08,EPSCoR Co-Funding,EPSCoR Co-Funding
14,7172,0.085,Graduate Research Fellowship,Graduate Research Fellowship
14,125Y,0.101,Science of Science,Science of Science
14,162Y,0.403,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
14,7261,0.861,Project & Program Evaluation,Project & Program Evaluation
14,1668,1.278,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
14,7980,1.485,ECR-EHR Core Research,ECR-EHR Core Research
14,8060,2.033,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
14,1997,3.416,NRT,NSF Research Traineeship (NRT)
15,062Y,0.002,GCR-Growing Convergence Research,GCR-Growing Convergence Research
15,7259,0.002,AISL,Advencing Informal STEM Learning
15,7275,0.006,Cross-EF Activities,Cross-EF Activities
15,1253,0.007,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
15,7645,0.009,Discovery Research K-12,Discovery Research K-12
15,055Y,0.009,CISE Education and Workforce,CISE Education and Workforce
15,1998,0.009,IUSE,Imploving Undergraduate STEM Education (IUSE)
15,7699,0.01,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
15,125Y,0.01,Science of Science,Science of Science
15,107Y,0.017,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
15,7959,0.018,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
15,104Y,0.02,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
15,9150,0.021,EPSCoR Co-Funding,EPSCoR Co-Funding
15,154Y,0.022,GVF - Global Venture Fund,GVF - Global Venture Fund
15,1536,0.029,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
15,8624,0.035,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
15,7412,0.042,Advanced Tech Education Prog,Advanced Tech Education Prog
15,7172,0.057,Graduate Research Fellowship,Graduate Research Fellowship
15,162Y,0.657,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
